id,train_id,station_code,station_name,station_order,arrival_time,departure_time,halt_time_minutes,distance_from_source,platform,created_at
23,2,AKOL_10,Akola,10,15:24:00,15:39:00,15,1019,1,2025-12-31 07:53:19
24,3,BHAR_2,Bharuch,2,01:04:00,01:19:00,15,177,1,2025-12-31 07:53:19
25,3,SAWA_3,Sawai Madhopur,3,02:27:00,02:42:00,15,239,1,2025-12-31 07:53:19
26,3,AJME_4,Ajmer,4,04:20:00,04:30:00,10,422,1,2025-12-31 07:53:19
27,3,KANP_5,Kanpur Central,5,05:48:00,05:53:00,5,557,3,2025-12-31 07:53:19
28,3,CUTT_6,Cuttack,6,07:10:00,07:25:00,15,720,4,2025-12-31 07:53:19
29,3,MUGH_7,Mughal Sarai,7,08:28:00,08:38:00,10,813,4,2025-12-31 07:53:19
30,3,GANG_8,Gangapur City,8,10:03:00,10:13:00,10,930,6,2025-12-31 07:53:19
31,3,GUNT_9,Guntur,9,11:14:00,11:19:00,5,1006,5,2025-12-31 07:53:19
32,3,KALY_10,Kalyan Junction,10,12:50:00,12:50:00,0,1186,1,2025-12-31 07:53:19
33,3,DHAN_11,Dhanbad,11,14:02:00,14:07:00,5,1297,4,2025-12-31 07:53:19
34,3,VAPI_12,Vapi,12,15:31:00,15:36:00,5,1391,6,2025-12-31 07:53:19
35,3,AGRA_13,Agra Cantt,13,16:50:00,17:00:00,10,1550,1,2025-12-31 07:53:19
36,3,MANM_14,Manmad,14,18:21:00,18:26:00,5,1744,2,2025-12-31 07:53:19
37,4,BADN_2,Badnera,2,01:21:00,01:26:00,5,153,5,2025-12-31 07:53:19
38,4,PALW_3,Palwal,3,03:04:00,03:06:00,2,324,5,2025-12-31 07:53:19
39,4,VIJA_4,Vijayawada,4,04:40:00,04:42:00,2,511,4,2025-12-31 07:53:19
40,4,VARA_5,Varanasi,5,06:16:00,06:31:00,15,704,3,2025-12-31 07:53:19
41,4,KALY_6,Kalyan Junction,6,07:56:00,08:01:00,5,865,6,2025-12-31 07:53:19
42,4,JALG_7,Jalgaon,7,09:51:00,09:53:00,2,915,4,2025-12-31 07:53:19
43,4,KATP_8,Katpadi,8,11:13:00,11:23:00,10,1068,2,2025-12-31 07:53:19
44,4,BHUB_9,Bhubaneswar,9,13:18:00,13:23:00,5,1189,3,2025-12-31 07:53:19
45,4,SURA_10,Surat,10,14:57:00,15:07:00,10,1291,4,2025-12-31 07:53:19
46,4,MUGH_11,Mughal Sarai,11,16:28:00,16:28:00,0,1425,3,2025-12-31 07:53:19
47,4,BHAR_12,Bharuch,12,18:10:00,18:12:00,2,1606,2,2025-12-31 07:53:19
48,4,SABA_13,Sabarmati,13,19:38:00,19:38:00,0,1732,1,2025-12-31 07:53:19
49,5,MUGH_2,Mughal Sarai,2,18:48:00,18:50:00,2,175,3,2025-12-31 07:53:19
50,5,EROD_3,Erode,3,20:50:00,20:50:00,0,297,3,2025-12-31 07:53:19
51,5,VIJA_4,Vijayawada,4,22:33:00,22:43:00,10,491,4,2025-12-31 07:53:19
52,5,BHAR_5,Bharatpur,5,00:36:00,00:46:00,10,557,2,2025-12-31 07:53:19
53,5,ONGO_6,Ongole,6,02:49:00,02:49:00,0,662,1,2025-12-31 07:53:19
54,5,DEWA_7,Dewas,7,04:25:00,04:40:00,15,753,6,2025-12-31 07:53:19
55,5,ANKL_8,Ankleshwar,8,06:41:00,06:46:00,5,944,1,2025-12-31 07:53:19
56,5,KANP_9,Kanpur Central,9,08:37:00,08:47:00,10,1053,2,2025-12-31 07:53:19
57,5,SURA_10,Surat,10,10:29:00,10:44:00,15,1127,6,2025-12-31 07:53:19
58,5,RAJA_11,Rajahmundry,11,12:23:00,12:33:00,10,1201,4,2025-12-31 07:53:19
59,5,MAKS_12,Maksi,12,14:25:00,14:40:00,15,1359,5,2025-12-31 07:53:19
60,6,VALS_2,Valsad,2,18:27:00,18:27:00,0,73,1,2025-12-31 07:53:19
61,6,GUDU_3,Gudur,3,20:02:00,20:12:00,10,207,5,2025-12-31 07:53:19
62,6,MALK_4,Malkapur,4,21:38:00,21:40:00,2,348,5,2025-12-31 07:53:19
63,6,BALH_5,Balharshah,5,23:38:00,23:43:00,5,406,1,2025-12-31 07:53:19
64,6,KOTA_6,Kota,6,01:08:00,01:08:00,0,579,5,2025-12-31 07:53:19
65,6,ARAK_7,Arakkonam,7,03:01:00,03:06:00,5,742,3,2025-12-31 07:53:19
66,7,MATH_2,Mathura,2,06:30:00,06:35:00,5,85,2,2025-12-31 07:53:19
67,7,SHEG_3,Shegaon,3,06:49:00,07:04:00,15,146,1,2025-12-31 07:53:19
68,7,MANM_4,Manmad,4,07:28:00,07:33:00,5,318,5,2025-12-31 07:53:19
69,7,BHAR_5,Bharatpur,5,07:21:00,07:31:00,10,502,3,2025-12-31 07:53:19
70,7,ANAN_6,Anand,6,07:54:00,07:59:00,5,608,5,2025-12-31 07:53:19
71,7,AJME_7,Ajmer,7,07:53:00,07:58:00,5,740,6,2025-12-31 07:53:19
72,7,ARAK_8,Arakkonam,8,08:24:00,08:26:00,2,801,4,2025-12-31 07:53:19
73,7,EROD_9,Erode,9,08:46:00,09:01:00,15,876,4,2025-12-31 07:53:19
74,7,KHAR_10,Kharagpur,10,08:49:00,08:49:00,0,1073,5,2025-12-31 07:53:19
75,7,KATP_11,Katpadi,11,09:10:00,09:12:00,2,1213,5,2025-12-31 07:53:19
76,7,AGRA_12,Agra Cantt,12,09:34:00,09:49:00,15,1276,1,2025-12-31 07:53:19
77,7,MEHS_13,Mehsana,13,10:07:00,10:09:00,2,1410,3,2025-12-31 07:53:19
78,7,WARD_14,Wardha,14,10:03:00,10:08:00,5,1479,1,2025-12-31 07:53:19
79,8,AJME_2,Ajmer,2,18:46:00,18:56:00,10,169,5,2025-12-31 07:53:19
80,8,GWAL_3,Gwalior,3,19:01:00,19:01:00,0,344,5,2025-12-31 07:53:19
81,8,VIZI_4,Vizianagaram,4,19:31:00,19:41:00,10,534,5,2025-12-31 07:53:19
82,8,MEHS_5,Mehsana,5,20:09:00,20:14:00,5,634,6,2025-12-31 07:53:19
83,8,GUDU_6,Gudur,6,20:21:00,20:23:00,2,690,4,2025-12-31 07:53:19
84,8,VAPI_7,Vapi,7,20:29:00,20:31:00,2,825,1,2025-12-31 07:53:19
85,8,TENA_8,Tenali,8,21:05:00,21:05:00,0,899,6,2025-12-31 07:53:19
86,8,JALG_9,Jalgaon,9,21:18:00,21:33:00,15,1007,3,2025-12-31 07:53:19
87,8,VARA_10,Varanasi,10,21:24:00,21:34:00,10,1075,4,2025-12-31 07:53:19
88,8,KATP_11,Katpadi,11,21:52:00,21:54:00,2,1204,6,2025-12-31 07:53:19
89,8,IGAT_12,Igatpuri,12,22:06:00,22:21:00,15,1398,1,2025-12-31 07:53:19
90,8,MAKS_13,Maksi,13,22:47:00,22:52:00,5,1460,1,2025-12-31 07:53:19
91,8,CUTT_14,Cuttack,14,23:05:00,23:20:00,15,1527,1,2025-12-31 07:53:19
92,8,BALH_15,Balharshah,15,23:17:00,23:32:00,15,1651,1,2025-12-31 07:53:19
93,8,CHIR_16,Chirala,16,23:29:00,23:44:00,15,1826,6,2025-12-31 07:53:19
94,9,ITAR_2,Itarsi,2,17:22:00,17:22:00,0,194,4,2025-12-31 07:53:19
95,9,BHAR_3,Bharatpur,3,18:41:00,18:51:00,10,244,4,2025-12-31 07:53:19
96,9,NADI_4,Nadiad,4,20:08:00,20:08:00,0,392,4,2025-12-31 07:53:19
97,9,KATP_5,Katpadi,5,21:12:00,21:22:00,10,554,1,2025-12-31 07:53:19
98,9,KANP_6,Kanpur Central,6,22:33:00,22:35:00,2,663,6,2025-12-31 07:53:19
99,9,DURG_7,Durgapur,7,23:59:00,00:09:00,10,759,1,2025-12-31 07:53:19
100,9,PALA_8,Palanpur,8,01:11:00,01:13:00,2,882,3,2025-12-31 07:53:19
101,9,NASH_9,Nashik Road,9,02:30:00,02:30:00,0,979,4,2025-12-31 07:53:19
102,10,SABA_2,Sabarmati,2,10:26:00,10:31:00,5,59,2,2025-12-31 07:53:19
103,10,RAJA_3,Rajahmundry,3,11:34:00,11:39:00,5,110,4,2025-12-31 07:53:19
104,10,KANP_4,Kanpur Central,4,12:17:00,12:32:00,15,263,5,2025-12-31 07:53:19
105,10,BAYA_5,Bayana,5,13:35:00,13:37:00,2,331,6,2025-12-31 07:53:19
106,10,BHAR_6,Bharuch,6,14:26:00,14:31:00,5,493,5,2025-12-31 07:53:19
107,10,VISA_7,Visakhapatnam,7,15:19:00,15:34:00,15,580,6,2025-12-31 07:53:19
108,10,WARA_8,Warangal,8,16:10:00,16:12:00,2,676,1,2025-12-31 07:53:19
109,10,ONGO_9,Ongole,9,17:06:00,17:16:00,10,778,4,2025-12-31 07:53:19
110,10,BRAH_10,Brahmapur,10,17:51:00,17:53:00,2,922,2,2025-12-31 07:53:19
111,10,SALE_11,Salem,11,19:06:00,19:16:00,10,975,4,2025-12-31 07:53:19
112,10,KHAN_12,Khandwa,12,19:44:00,19:49:00,5,1102,5,2025-12-31 07:53:19
113,10,SAWA_13,Sawai Madhopur,13,20:30:00,20:30:00,0,1259,1,2025-12-31 07:53:19
114,10,KALY_14,Kalyan Junction,14,21:43:00,21:45:00,2,1377,4,2025-12-31 07:53:19
115,11,EROD_2,Erode,2,16:07:00,16:07:00,0,96,6,2025-12-31 07:53:19
116,11,KOTA_3,Kota,3,16:47:00,16:57:00,10,183,6,2025-12-31 07:53:19
117,11,ITAR_4,Itarsi,4,17:38:00,17:38:00,0,332,3,2025-12-31 07:53:19
118,11,BADN_5,Badnera,5,18:15:00,18:25:00,10,382,6,2025-12-31 07:53:19
119,11,ASAN_6,Asansol,6,18:55:00,19:10:00,15,536,4,2025-12-31 07:53:19
120,12,ABU_2,Abu Road,2,06:20:00,06:25:00,5,60,1,2025-12-31 07:53:19
121,12,BHAR_3,Bharuch,3,09:20:00,09:25:00,5,137,5,2025-12-31 07:53:19
122,12,SAWA_4,Sawai Madhopur,4,12:34:00,12:44:00,10,216,3,2025-12-31 07:53:19
123,12,GUDU_5,Gudur,5,15:45:00,15:50:00,5,368,3,2025-12-31 07:53:19
124,12,ANKL_6,Ankleshwar,6,19:22:00,19:32:00,10,501,4,2025-12-31 07:53:19
125,12,RATL_7,Ratlam,7,22:29:00,22:39:00,10,575,2,2025-12-31 07:53:19
126,12,JOLA_8,Jolarpettai,8,01:38:00,01:38:00,0,701,5,2025-12-31 07:53:19
127,13,DEWA_2,Dewas,2,11:48:00,11:53:00,5,141,2,2025-12-31 07:53:19
128,13,KHAR_3,Kharagpur,3,13:42:00,13:44:00,2,280,3,2025-12-31 07:53:19
129,13,MATH_4,Mathura,4,16:16:00,16:18:00,2,347,2,2025-12-31 07:53:19
130,13,RATL_5,Ratlam,5,18:27:00,18:29:00,2,486,5,2025-12-31 07:53:19
131,13,SAWA_6,Sawai Madhopur,6,20:44:00,20:44:00,0,649,5,2025-12-31 07:53:19
132,13,MEHS_7,Mehsana,7,23:20:00,23:35:00,15,721,5,2025-12-31 07:53:19
133,13,NELL_8,Nellore,8,01:16:00,01:21:00,5,824,2,2025-12-31 07:53:19
134,13,PALA_9,Palanpur,9,03:47:00,03:52:00,5,914,1,2025-12-31 07:53:19
135,13,VALS_10,Valsad,10,06:00:00,06:02:00,2,1111,2,2025-12-31 07:53:19
136,13,SABA_11,Sabarmati,11,08:20:00,08:25:00,5,1310,4,2025-12-31 07:53:19
137,13,PALW_12,Palwal,12,10:32:00,10:37:00,5,1431,2,2025-12-31 07:53:19
138,14,TENA_2,Tenali,2,11:53:00,11:53:00,0,114,2,2025-12-31 07:53:19
139,14,BALH_3,Balharshah,3,12:28:00,12:33:00,5,227,1,2025-12-31 07:53:19
140,14,BRAH_4,Brahmapur,4,13:20:00,13:20:00,0,330,4,2025-12-31 07:53:19
141,14,CHAN_5,Chandrapur,5,13:38:00,13:38:00,0,528,6,2025-12-31 07:53:19
142,14,RATL_6,Ratlam,6,14:29:00,14:29:00,0,636,1,2025-12-31 07:53:19
143,14,GAYA_7,Gaya,7,14:59:00,15:14:00,15,690,1,2025-12-31 07:53:19
144,14,SABA_8,Sabarmati,8,15:24:00,15:24:00,0,809,4,2025-12-31 07:53:19
145,14,SALE_9,Salem,9,16:10:00,16:15:00,5,936,3,2025-12-31 07:53:19
146,14,KOTA_10,Kota,10,16:53:00,17:08:00,15,992,1,2025-12-31 07:53:19
147,14,DEWA_11,Dewas,11,17:29:00,17:39:00,10,1177,3,2025-12-31 07:53:19
148,14,ABU_12,Abu Road,12,17:51:00,17:56:00,5,1235,5,2025-12-31 07:53:19
149,14,NAGP_13,Nagpur,13,18:44:00,18:59:00,15,1300,1,2025-12-31 07:53:19
150,14,CHIR_14,Chirala,14,19:21:00,19:26:00,5,1482,6,2025-12-31 07:53:19
151,15,GUDU_2,Gudur,2,19:47:00,19:47:00,0,119,5,2025-12-31 07:53:19
152,15,NAGP_3,Nagpur,3,22:28:00,22:28:00,0,230,4,2025-12-31 07:53:19
153,15,RATL_4,Ratlam,4,01:04:00,01:14:00,10,295,3,2025-12-31 07:53:19
154,15,KALY_5,Kalyan Junction,5,03:22:00,03:24:00,2,483,1,2025-12-31 07:53:19
155,15,SHEG_6,Shegaon,6,05:50:00,05:50:00,0,603,5,2025-12-31 07:53:19
156,15,KOTA_7,Kota,7,08:27:00,08:29:00,2,669,6,2025-12-31 07:53:19
157,15,SALE_8,Salem,8,11:20:00,11:35:00,15,832,6,2025-12-31 07:53:19
158,15,CHAN_9,Chandrapur,9,13:32:00,13:42:00,10,957,4,2025-12-31 07:53:19
159,16,VARA_2,Varanasi,2,22:28:00,22:28:00,0,160,4,2025-12-31 07:53:19
160,16,VIJA_3,Vijayawada,3,23:25:00,23:30:00,5,318,3,2025-12-31 07:53:19
161,16,CHIR_4,Chirala,4,00:26:00,00:28:00,2,426,3,2025-12-31 07:53:19
162,16,PALW_5,Palwal,5,01:23:00,01:33:00,10,596,2,2025-12-31 07:53:19
163,16,VALS_6,Valsad,6,02:33:00,02:38:00,5,760,1,2025-12-31 07:53:19
164,16,BHOP_7,Bhopal,7,03:28:00,03:28:00,0,940,5,2025-12-31 07:53:19
165,16,BALH_8,Balharshah,8,04:29:00,04:34:00,5,1076,3,2025-12-31 07:53:19
166,16,ARAK_9,Arakkonam,9,05:22:00,05:22:00,0,1181,3,2025-12-31 07:53:19
167,16,DURG_10,Durgapur,10,06:18:00,06:28:00,10,1357,3,2025-12-31 07:53:19
168,16,BHUS_11,Bhusaval,11,07:20:00,07:35:00,15,1454,2,2025-12-31 07:53:19
169,16,MATH_12,Mathura,12,08:44:00,08:54:00,10,1640,5,2025-12-31 07:53:19
170,16,GWAL_13,Gwalior,13,09:42:00,09:42:00,0,1710,5,2025-12-31 07:53:19
171,17,VARA_2,Varanasi,2,12:01:00,12:06:00,5,170,5,2025-12-31 07:53:19
172,17,PALA_3,Palanpur,3,12:53:00,13:03:00,10,316,6,2025-12-31 07:53:19
173,17,EROD_4,Erode,4,13:33:00,13:35:00,2,387,5,2025-12-31 07:53:19
174,17,NASH_5,Nashik Road,5,14:21:00,14:26:00,5,522,4,2025-12-31 07:53:19
175,17,ANKL_6,Ankleshwar,6,14:48:00,14:48:00,0,719,3,2025-12-31 07:53:19
176,17,BHAR_7,Bharuch,7,15:09:00,15:14:00,5,859,2,2025-12-31 07:53:19
177,17,GUNT_8,Guntur,8,15:51:00,15:53:00,2,975,1,2025-12-31 07:53:19
178,17,MATH_9,Mathura,9,16:50:00,16:55:00,5,1137,4,2025-12-31 07:53:19
179,17,KANP_10,Kanpur Central,10,17:08:00,17:08:00,0,1187,1,2025-12-31 07:53:19
180,17,KAZI_11,Kazipet,11,17:50:00,17:50:00,0,1334,5,2025-12-31 07:53:19
181,17,GANG_12,Gangapur City,12,18:19:00,18:19:00,0,1524,3,2025-12-31 07:53:19
182,17,GAYA_13,Gaya,13,19:18:00,19:28:00,10,1690,4,2025-12-31 07:53:19
183,17,BADN_14,Badnera,14,20:02:00,20:07:00,5,1837,3,2025-12-31 07:53:19
184,18,PALA_2,Palanpur,2,00:57:00,00:57:00,0,89,2,2025-12-31 07:53:19
185,18,SURA_3,Surat,3,02:42:00,02:57:00,15,173,1,2025-12-31 07:53:19
186,18,SABA_4,Sabarmati,4,04:12:00,04:12:00,0,292,2,2025-12-31 07:53:19
187,18,VALS_5,Valsad,5,06:06:00,06:16:00,10,360,4,2025-12-31 07:53:19
188,18,VADO_6,Vadodara,6,07:38:00,07:38:00,0,481,1,2025-12-31 07:53:19
189,18,KHAR_7,Kharagpur,7,09:42:00,09:57:00,15,601,3,2025-12-31 07:53:19
190,18,NADI_8,Nadiad,8,11:10:00,11:10:00,0,779,2,2025-12-31 07:53:19
191,18,ARAK_9,Arakkonam,9,13:02:00,13:12:00,10,936,5,2025-12-31 07:53:19
192,18,EROD_10,Erode,10,14:43:00,14:53:00,10,1043,3,2025-12-31 07:53:19
193,18,GWAL_11,Gwalior,11,16:17:00,16:27:00,10,1129,3,2025-12-31 07:53:19
194,18,BRAH_12,Brahmapur,12,18:03:00,18:03:00,0,1224,5,2025-12-31 07:53:19
195,18,BHUB_13,Bhubaneswar,13,20:13:00,20:18:00,5,1340,5,2025-12-31 07:53:19
196,19,BALH_2,Balharshah,2,05:09:00,05:19:00,10,103,3,2025-12-31 07:53:19
197,19,BHOP_3,Bhopal,3,06:17:00,06:17:00,0,290,3,2025-12-31 07:53:19
198,19,JALG_4,Jalgaon,4,07:48:00,07:50:00,2,422,3,2025-12-31 07:53:19
199,19,GWAL_5,Gwalior,5,08:49:00,08:59:00,10,504,2,2025-12-31 07:53:19
200,19,AKOL_6,Akola,6,10:06:00,10:06:00,0,651,4,2025-12-31 07:53:19
201,19,MAKS_7,Maksi,7,11:21:00,11:26:00,5,792,2,2025-12-31 07:53:19
202,19,SAWA_8,Sawai Madhopur,8,12:40:00,12:55:00,15,960,6,2025-12-31 07:53:19
203,19,FARI_9,Faridabad,9,13:54:00,13:54:00,0,1101,4,2025-12-31 07:53:19
204,19,BHUS_10,Bhusaval,10,14:48:00,15:03:00,15,1279,5,2025-12-31 07:53:19
205,19,CUTT_11,Cuttack,11,16:13:00,16:13:00,0,1412,1,2025-12-31 07:53:19
206,19,BHAR_12,Bharatpur,12,17:24:00,17:34:00,10,1472,1,2025-12-31 07:53:19
207,19,BADN_13,Badnera,13,18:54:00,19:09:00,15,1618,6,2025-12-31 07:53:19
208,19,EROD_14,Erode,14,19:40:00,19:40:00,0,1680,4,2025-12-31 07:53:19
209,19,SALE_15,Salem,15,21:03:00,21:18:00,15,1872,2,2025-12-31 07:53:19
210,20,BADN_2,Badnera,2,10:21:00,10:23:00,2,136,2,2025-12-31 07:53:19
211,20,KHAN_3,Khandwa,3,13:29:00,13:29:00,0,257,5,2025-12-31 07:53:19
212,20,KANP_4,Kanpur Central,4,16:07:00,16:22:00,15,320,5,2025-12-31 07:53:19
213,20,BHOP_5,Bhopal,5,18:47:00,18:57:00,10,382,6,2025-12-31 07:53:19
214,20,ALLA_6,Allahabad,6,21:31:00,21:33:00,2,536,5,2025-12-31 07:53:19
215,20,PALA_7,Palanpur,7,00:24:00,00:26:00,2,724,5,2025-12-31 07:53:19
216,20,BAYA_8,Bayana,8,03:01:00,03:03:00,2,829,4,2025-12-31 07:53:19
217,20,MALK_9,Malkapur,9,06:13:00,06:18:00,5,940,2,2025-12-31 07:53:19
218,20,KHAR_10,Kharagpur,10,09:00:00,09:00:00,0,1059,5,2025-12-31 07:53:19
219,21,RAJA_2,Rajahmundry,2,11:54:00,12:04:00,10,188,5,2025-12-31 07:53:19
220,21,FARI_3,Faridabad,3,13:48:00,13:50:00,2,350,6,2025-12-31 07:53:19
221,21,NAGP_4,Nagpur,4,16:06:00,16:08:00,2,517,2,2025-12-31 07:53:19
222,21,ANAN_5,Anand,5,18:05:00,18:10:00,5,684,4,2025-12-31 07:53:19
223,21,CHAN_6,Chandrapur,6,20:06:00,20:06:00,0,756,1,2025-12-31 07:53:19
224,21,BADN_7,Badnera,7,22:29:00,22:29:00,0,933,5,2025-12-31 07:53:19
225,21,ITAR_8,Itarsi,8,00:32:00,00:47:00,15,1009,5,2025-12-31 07:53:19
226,21,WARA_9,Warangal,9,02:23:00,02:38:00,15,1080,3,2025-12-31 07:53:19
227,21,SALE_10,Salem,10,04:21:00,04:23:00,2,1155,6,2025-12-31 07:53:19
228,21,KAZI_11,Kazipet,11,06:31:00,06:46:00,15,1291,5,2025-12-31 07:53:19
229,21,ARAK_12,Arakkonam,12,08:37:00,08:37:00,0,1351,6,2025-12-31 07:53:19
230,21,WARD_13,Wardha,13,10:35:00,10:35:00,0,1416,3,2025-12-31 07:53:19
231,21,BALH_14,Balharshah,14,12:59:00,13:09:00,10,1532,6,2025-12-31 07:53:19
232,21,ANKL_15,Ankleshwar,15,14:51:00,14:51:00,0,1626,5,2025-12-31 07:53:19
233,21,SAWA_16,Sawai Madhopur,16,16:50:00,17:05:00,15,1717,2,2025-12-31 07:53:19
234,22,DEWA_2,Dewas,2,03:00:00,03:00:00,0,191,5,2025-12-31 07:53:19
235,22,ANAN_3,Anand,3,05:08:00,05:08:00,0,269,2,2025-12-31 07:53:19
236,22,BALA_4,Balasore,4,07:34:00,07:44:00,10,412,6,2025-12-31 07:53:19
237,22,SURA_5,Surat,5,09:47:00,10:02:00,15,485,5,2025-12-31 07:53:19
238,22,KATP_6,Katpadi,6,11:48:00,11:50:00,2,590,3,2025-12-31 07:53:19
239,22,MAKS_7,Maksi,7,13:58:00,14:00:00,2,659,6,2025-12-31 07:53:19
240,22,KAZI_8,Kazipet,8,16:14:00,16:29:00,15,733,2,2025-12-31 07:53:19
241,22,CUTT_9,Cuttack,9,18:27:00,18:32:00,5,900,4,2025-12-31 07:53:19
242,22,AGRA_10,Agra Cantt,10,20:36:00,20:36:00,0,1017,3,2025-12-31 07:53:19
243,22,GWAL_11,Gwalior,11,22:30:00,22:32:00,2,1182,6,2025-12-31 07:53:19
244,22,ASAN_12,Asansol,12,00:45:00,00:50:00,5,1376,4,2025-12-31 07:53:19
245,22,ALLA_13,Allahabad,13,03:11:00,03:21:00,10,1514,4,2025-12-31 07:53:19
246,23,JOLA_2,Jolarpettai,2,09:05:00,09:10:00,5,57,2,2025-12-31 07:53:19
247,23,BHAR_3,Bharatpur,3,10:09:00,10:14:00,5,114,3,2025-12-31 07:53:19
248,23,BADN_4,Badnera,4,11:24:00,11:29:00,5,298,6,2025-12-31 07:53:19
249,23,ITAR_5,Itarsi,5,12:55:00,13:10:00,15,357,6,2025-12-31 07:53:19
250,23,JHAN_6,Jhansi,6,13:51:00,14:06:00,15,420,3,2025-12-31 07:53:19
251,23,IGAT_7,Igatpuri,7,15:06:00,15:16:00,10,551,4,2025-12-31 07:53:19
252,23,BHAR_8,Bharuch,8,16:32:00,16:32:00,0,657,4,2025-12-31 07:53:19
253,23,GAYA_9,Gaya,9,17:52:00,17:54:00,2,750,3,2025-12-31 07:53:19
254,23,CHIR_10,Chirala,10,18:49:00,18:54:00,5,936,3,2025-12-31 07:53:19
255,23,ONGO_11,Ongole,11,20:22:00,20:37:00,15,1002,5,2025-12-31 07:53:19
256,23,PALA_12,Palanpur,12,21:50:00,22:05:00,15,1144,6,2025-12-31 07:53:19
257,23,KOTA_13,Kota,13,22:38:00,22:38:00,0,1260,1,2025-12-31 07:53:19
258,23,SHAJ_14,Shajapur,14,23:54:00,23:56:00,2,1387,2,2025-12-31 07:53:19
259,24,NAGD_2,Nagda,2,19:31:00,19:46:00,15,183,5,2025-12-31 07:53:19
260,24,SABA_3,Sabarmati,3,20:14:00,20:16:00,2,359,5,2025-12-31 07:53:19
261,24,NADI_4,Nadiad,4,21:15:00,21:25:00,10,451,6,2025-12-31 07:53:19
262,24,GUNT_5,Guntur,5,21:43:00,21:53:00,10,604,2,2025-12-31 07:53:19
263,24,BALH_6,Balharshah,6,22:37:00,22:47:00,10,724,3,2025-12-31 07:53:19
264,24,VADO_7,Vadodara,7,23:12:00,23:27:00,15,881,1,2025-12-31 07:53:19
265,24,GANG_8,Gangapur City,8,23:58:00,00:00:00,2,936,1,2025-12-31 07:53:19
266,24,JALG_9,Jalgaon,9,00:43:00,00:48:00,5,1026,4,2025-12-31 07:53:19
267,24,BHUS_10,Bhusaval,10,01:39:00,01:39:00,0,1172,1,2025-12-31 07:53:19
268,24,VIZI_11,Vizianagaram,11,02:24:00,02:29:00,5,1349,2,2025-12-31 07:53:19
269,24,SHEG_12,Shegaon,12,03:18:00,03:28:00,10,1524,3,2025-12-31 07:53:19
270,24,BHOP_13,Bhopal,13,03:40:00,03:50:00,10,1646,3,2025-12-31 07:53:19
271,25,BHUS_2,Bhusaval,2,12:36:00,12:51:00,15,157,1,2025-12-31 07:53:19
272,25,CHIR_3,Chirala,3,15:32:00,15:42:00,10,281,1,2025-12-31 07:53:19
273,25,DHAN_4,Dhanbad,4,18:18:00,18:18:00,0,371,2,2025-12-31 07:53:19
274,25,BADN_5,Badnera,5,20:43:00,20:58:00,15,519,3,2025-12-31 07:53:19
275,25,VALS_6,Valsad,6,23:33:00,23:43:00,10,597,2,2025-12-31 07:53:19
276,25,NADI_7,Nadiad,7,01:56:00,01:58:00,2,684,1,2025-12-31 07:53:19
277,25,BRAH_8,Brahmapur,8,05:06:00,05:11:00,5,852,2,2025-12-31 07:53:19
278,25,AKOL_9,Akola,9,07:22:00,07:27:00,5,938,6,2025-12-31 07:53:19
