id,transaction_id,booking_id,user_id,journey_id,amount,currency,status,payment_method,payment_gateway,failure_reason,gateway_response,created_at,updated_at,completed_at,expires_at,version
17,TXN17671676855006R0Q8WL,BKG-20251231-7VVTKYHX,962,17,4334,INR,FAILED,UPI,Paytm,Bank declined,,2026-01-05T09:20:31.106Z,2026-01-05T09:20:35.106Z,,,0
18,TXN1767167685500ZGAKV1M,BKG-20251231-OEEIDP0N,157,18,2058,INR,SUCCESS,UPI,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN1767167685500ZGAKV1M"",""bank_ref"":""xlw0tmmrs9o""}",2026-01-03T23:24:06.195Z,2026-01-03T23:24:10.195Z,2026-01-03T23:24:35.195Z,,0
19,TXN1767167685500MPXNQID,BKG-20251231-51XYGGA6,795,19,3490,INR,SUCCESS,DEBIT_CARD,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN1767167685500MPXNQID"",""bank_ref"":""zt5jei5m0og""}",2025-12-14T16:30:19.079Z,2025-12-14T16:30:23.079Z,2025-12-14T16:30:48.079Z,,0
20,TXN1767167685500HYGFEX1,BKG-20251231-PRCKX8NK,370,20,2357,INR,INITIATED,NET_BANKING,CCAvenue,,,2025-12-09T01:08:17.038Z,2025-12-09T01:08:21.038Z,,2025-12-09T01:12:16.038Z,0
21,TXN1767167685500KMHL1JT,BKG-20251231-NHIJIM9Z,843,21,914,INR,FAILED,DEBIT_CARD,PayU,Network timeout,,2025-12-12T23:48:54.697Z,2025-12-12T23:48:58.697Z,,,0
22,TXN1767167685500FFZDU1L,BKG-20251231-AHTSPITX,754,22,2160,INR,SUCCESS,DEBIT_CARD,Razorpay,,"{""status"":""success"",""txn_id"":""TXN1767167685500FFZDU1L"",""bank_ref"":""1xtm7ipa1ip""}",2026-01-03T16:52:16.950Z,2026-01-03T16:52:20.950Z,2026-01-03T16:52:45.950Z,,0
23,TXN1767167685500IDUCT6V,BKG-20251231-EK75IKCU,166,23,1329,INR,SUCCESS,NET_BANKING,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN1767167685500IDUCT6V"",""bank_ref"":""orfc900nlje""}",2025-12-17T02:03:48.894Z,2025-12-17T02:03:52.894Z,2025-12-17T02:04:17.894Z,,0
24,TXN1767167685500LL8N7TD,BKG-20251231-77ESJJ4R,368,24,4764,INR,SUCCESS,CREDIT_CARD,Razorpay,,"{""status"":""success"",""txn_id"":""TXN1767167685500LL8N7TD"",""bank_ref"":""ghtj16f1joi""}",2025-12-16T12:13:33.182Z,2025-12-16T12:13:37.182Z,2025-12-16T12:14:02.182Z,,0
25,TXN1767167685500UULXG9F,BKG-20251231-6LC0GDGP,23,25,4039,INR,PENDING,UPI,Paytm,,,2026-01-04T00:00:28.897Z,2026-01-04T00:00:32.897Z,,2026-01-04T00:04:27.897Z,0
26,TXN17671676855007VV89BY,BKG-20251231-ZSPU3CCA,628,26,561,INR,SUCCESS,DEBIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN17671676855007VV89BY"",""bank_ref"":""daagsjf917n""}",2025-12-09T14:08:59.420Z,2025-12-09T14:09:03.420Z,2025-12-09T14:09:28.420Z,,0
27,TXN1767167685500STDMPMZ,BKG-20251231-B87YP70R,75,27,4359,INR,PENDING,UPI,PhonePe,,,2026-01-15T18:11:57.804Z,2026-01-15T18:12:01.804Z,,2026-01-15T18:15:56.804Z,0
28,TXN1767167685500C9HSFBD,BKG-20251231-7RWHYHUZ,667,28,3791,INR,PENDING,UPI,Razorpay,,,2026-01-03T21:23:59.261Z,2026-01-03T21:24:03.261Z,,2026-01-03T21:27:58.261Z,0
29,TXN1767167685501D0VNJDN,BKG-20251231-TYSK0LKY,909,29,3967,INR,PENDING,NET_BANKING,PhonePe,,,2025-12-11T11:14:12.178Z,2025-12-11T11:14:16.178Z,,2025-12-11T11:18:11.178Z,0
30,TXN1767167685501HPHMI97,BKG-20251231-D9QL4DOZ,53,30,798,INR,REFUNDED,WALLET,PhonePe,,,2025-12-29T15:46:32.765Z,2025-12-29T15:46:36.765Z,2025-12-29T15:47:01.765Z,,0
31,TXN1767167685501AJQUU3W,BKG-20251231-4A2NONDN,417,31,4316,INR,SUCCESS,DEBIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685501AJQUU3W"",""bank_ref"":""crow9lm9n7""}",2025-12-16T15:54:03.580Z,2025-12-16T15:54:07.580Z,2025-12-16T15:54:32.580Z,,0
32,TXN1767167685501GVPY46C,BKG-20251231-QIVOBP9V,246,32,820,INR,PENDING,CREDIT_CARD,Razorpay,,,2025-12-14T22:28:06.025Z,2025-12-14T22:28:10.025Z,,2025-12-14T22:32:05.025Z,0
33,TXN1767167685501ZUSERZ7,BKG-20251231-A1LJTGYQ,268,33,2441,INR,SUCCESS,CREDIT_CARD,GooglePay,,"{""status"":""success"",""txn_id"":""TXN1767167685501ZUSERZ7"",""bank_ref"":""ylh9ex9f2gi""}",2025-12-09T05:45:16.191Z,2025-12-09T05:45:20.191Z,2025-12-09T05:45:45.191Z,,0
34,TXN1767167685501NVA9YN9,BKG-20251231-O1EY5F9P,355,34,2463,INR,REFUNDED,UPI,PhonePe,,,2025-12-17T05:54:06.016Z,2025-12-17T05:54:10.016Z,2025-12-17T05:54:35.016Z,,0
35,TXN1767167685501SCEOSH5,BKG-20251231-T6BRI2V9,104,35,4175,INR,SUCCESS,DEBIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685501SCEOSH5"",""bank_ref"":""wb7uuu3vylp""}",2025-12-21T01:04:27.539Z,2025-12-21T01:04:31.539Z,2025-12-21T01:04:56.539Z,,0
36,TXN1767167685501ZEZ9SMR,BKG-20251231-F7RQTQCC,42,36,3902,INR,SUCCESS,UPI,Paytm,,"{""status"":""success"",""txn_id"":""TXN1767167685501ZEZ9SMR"",""bank_ref"":""j50k95wuv5""}",2025-12-29T09:32:44.997Z,2025-12-29T09:32:48.997Z,2025-12-29T09:33:13.997Z,,0
37,TXN17671676855013XV462G,BKG-20251231-WPN2AHMB,886,37,2254,INR,SUCCESS,UPI,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN17671676855013XV462G"",""bank_ref"":""kq23vwnble""}",2025-12-23T22:31:45.855Z,2025-12-23T22:31:49.855Z,2025-12-23T22:32:14.855Z,,0
38,TXN1767167685501FHI3VSG,BKG-20251231-IX1Q0QC5,238,38,4035,INR,SUCCESS,UPI,Razorpay,,"{""status"":""success"",""txn_id"":""TXN1767167685501FHI3VSG"",""bank_ref"":""bne8cnf44r""}",2026-01-04T23:59:08.586Z,2026-01-04T23:59:12.586Z,2026-01-04T23:59:37.586Z,,0
39,TXN1767167685501BLXARD6,BKG-20251231-L0HDJLMK,58,39,2699,INR,SUCCESS,DEBIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685501BLXARD6"",""bank_ref"":""xgughoj3dwf""}",2025-12-22T23:53:56.445Z,2025-12-22T23:54:00.445Z,2025-12-22T23:54:25.445Z,,0
40,TXN1767167685501X5NMXFW,BKG-20251231-2T5MNZ5H,498,40,3024,INR,REFUNDED,WALLET,Paytm,,,2025-12-21T13:24:50.669Z,2025-12-21T13:24:54.669Z,2025-12-21T13:25:19.669Z,,0
41,TXN1767167685501CHGH8FM,BKG-20251231-BE1V1AJL,189,41,3303,INR,SUCCESS,DEBIT_CARD,Razorpay,,"{""status"":""success"",""txn_id"":""TXN1767167685501CHGH8FM"",""bank_ref"":""lvhvap1d3xp""}",2026-01-11T13:33:26.882Z,2026-01-11T13:33:30.882Z,2026-01-11T13:33:55.882Z,,0
42,TXN1767167685501ZSVP78B,BKG-20251231-Y14T28J7,932,42,1798,INR,FAILED,WALLET,PayU,Invalid CVV,,2025-12-12T11:54:41.456Z,2025-12-12T11:54:45.456Z,,,0
43,TXN176716768550141KQNNG,BKG-20251231-SU8DU46Y,611,43,731,INR,PENDING,WALLET,Razorpay,,,2025-12-14T20:31:47.327Z,2025-12-14T20:31:51.327Z,,2025-12-14T20:35:46.327Z,0
44,TXN1767167685501SGZMZ63,BKG-20251231-4SH80S6V,651,44,2965,INR,FAILED,WALLET,CCAvenue,Network timeout,,2025-12-26T05:01:41.122Z,2025-12-26T05:01:45.122Z,,,0
45,TXN1767167685501NO1CMW8,BKG-20251231-ZMOOVQV7,926,45,3788,INR,FAILED,WALLET,CCAvenue,Bank declined,,2025-12-17T23:12:38.813Z,2025-12-17T23:12:42.813Z,,,0
46,TXN1767167685501MAVXVUG,BKG-20251231-CE6SBIA0,364,46,1567,INR,SUCCESS,NET_BANKING,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN1767167685501MAVXVUG"",""bank_ref"":""g0ub92854yh""}",2026-01-15T03:48:05.856Z,2026-01-15T03:48:09.856Z,2026-01-15T03:48:34.856Z,,0
47,TXN1767167685501A2E97YI,BKG-20251231-OOJS90VB,815,47,1637,INR,PENDING,UPI,Paytm,,,2025-12-29T11:00:56.247Z,2025-12-29T11:01:00.247Z,,2025-12-29T11:04:55.247Z,0
48,TXN17671676855015QVUKZU,BKG-20251231-898WBRWY,696,48,1557,INR,SUCCESS,UPI,Razorpay,,"{""status"":""success"",""txn_id"":""TXN17671676855015QVUKZU"",""bank_ref"":""384c9hd0ipj""}",2026-01-04T14:09:28.879Z,2026-01-04T14:09:32.879Z,2026-01-04T14:09:57.879Z,,0
49,TXN17671676855018SNMBNU,BKG-20251231-1HDRMZSN,583,49,2873,INR,SUCCESS,WALLET,Paytm,,"{""status"":""success"",""txn_id"":""TXN17671676855018SNMBNU"",""bank_ref"":""wd0c4tt2gi""}",2026-01-16T08:15:32.519Z,2026-01-16T08:15:36.519Z,2026-01-16T08:16:01.519Z,,0
50,TXN17671676855011LPXJ3T,BKG-20251231-EZR671GG,660,50,2931,INR,PENDING,DEBIT_CARD,PayU,,,2026-01-16T14:04:42.864Z,2026-01-16T14:04:46.864Z,,2026-01-16T14:08:41.864Z,0
51,TXN1767167685501VZVK7G7,BKG-20251231-FYFF0GE6,614,51,4013,INR,SUCCESS,WALLET,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685501VZVK7G7"",""bank_ref"":""ih0dm7kmdas""}",2025-12-18T10:10:20.085Z,2025-12-18T10:10:24.085Z,2025-12-18T10:10:49.085Z,,0
52,TXN1767167685501NVVDCTJ,BKG-20251231-XDF1GYLT,694,52,1504,INR,SUCCESS,UPI,Paytm,,"{""status"":""success"",""txn_id"":""TXN1767167685501NVVDCTJ"",""bank_ref"":""1bd4m4dpao4""}",2025-12-09T21:01:15.214Z,2025-12-09T21:01:19.214Z,2025-12-09T21:01:44.214Z,,0
53,TXN1767167685501KAOD17N,BKG-20251231-0W4T3NOR,673,53,3188,INR,SUCCESS,UPI,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685501KAOD17N"",""bank_ref"":""tpqhwkleus""}",2025-12-03T17:07:39.602Z,2025-12-03T17:07:43.602Z,2025-12-03T17:08:08.602Z,,0
54,TXN1767167685501YB45E7R,BKG-20251231-NA33V45C,944,54,4788,INR,SUCCESS,DEBIT_CARD,GooglePay,,"{""status"":""success"",""txn_id"":""TXN1767167685501YB45E7R"",""bank_ref"":""9q3uol3k07""}",2025-12-30T15:52:45.800Z,2025-12-30T15:52:49.800Z,2025-12-30T15:53:14.800Z,,0
55,TXN1767167685501EDNCI3E,BKG-20251231-7KHY97LO,27,55,3516,INR,SUCCESS,UPI,GooglePay,,"{""status"":""success"",""txn_id"":""TXN1767167685501EDNCI3E"",""bank_ref"":""6z2px7qo4nc""}",2025-11-22T14:37:26.901Z,2025-11-22T14:37:30.901Z,2025-11-22T14:37:55.901Z,,0
56,TXN1767167685501EQ5GW8A,BKG-20251231-L43J1Y97,456,56,817,INR,SUCCESS,CREDIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685501EQ5GW8A"",""bank_ref"":""gjj7vmrosgs""}",2025-12-14T16:51:48.220Z,2025-12-14T16:51:52.220Z,2025-12-14T16:52:17.220Z,,0
57,TXN1767167685501P6DFH3Q,BKG-20251231-DQAT1BOS,864,57,3343,INR,REFUNDED,UPI,PayU,,,2026-01-04T23:41:56.744Z,2026-01-04T23:42:00.744Z,2026-01-04T23:42:25.744Z,,0
58,TXN1767167685501OAP8LLH,BKG-20251231-XKP560CA,668,58,4612,INR,SUCCESS,NET_BANKING,Paytm,,"{""status"":""success"",""txn_id"":""TXN1767167685501OAP8LLH"",""bank_ref"":""ipkre1n5lcr""}",2026-01-12T22:09:03.853Z,2026-01-12T22:09:07.853Z,2026-01-12T22:09:32.853Z,,0
59,TXN17671676855011G2K68B,BKG-20251231-N5G45SPT,947,59,1478,INR,SUCCESS,WALLET,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN17671676855011G2K68B"",""bank_ref"":""hgh5oth1muv""}",2025-12-17T00:27:58.576Z,2025-12-17T00:28:02.576Z,2025-12-17T00:28:27.576Z,,0
60,TXN1767167685501IKEIDD4,BKG-20251231-F701EZ66,919,60,4662,INR,SUCCESS,UPI,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN1767167685501IKEIDD4"",""bank_ref"":""pzx2u6aayoe""}",2025-12-16T03:23:08.592Z,2025-12-16T03:23:12.592Z,2025-12-16T03:23:37.592Z,,0
61,TXN1767167685501YYM8E17,BKG-20251231-T44QPVFV,279,61,1229,INR,SUCCESS,DEBIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685501YYM8E17"",""bank_ref"":""8q3enday07r""}",2026-01-11T10:19:58.198Z,2026-01-11T10:20:02.198Z,2026-01-11T10:20:27.198Z,,0
62,TXN17671676855022RSC7NS,BKG-20251231-S4B3P1W3,97,62,904,INR,FAILED,UPI,Razorpay,Invalid CVV,,2025-12-07T20:00:33.989Z,2025-12-07T20:00:37.989Z,,,0
63,TXN1767167685502A0YYMJ2,BKG-20251231-UUPNH0TT,79,63,3248,INR,SUCCESS,UPI,Paytm,,"{""status"":""success"",""txn_id"":""TXN1767167685502A0YYMJ2"",""bank_ref"":""mz9n50dn5r""}",2025-12-29T09:37:43.461Z,2025-12-29T09:37:47.461Z,2025-12-29T09:38:12.461Z,,0
64,TXN17671676855020F8TPXZ,BKG-20251231-A97DY430,175,64,3643,INR,FAILED,DEBIT_CARD,GooglePay,Bank declined,,2025-12-11T11:47:45.186Z,2025-12-11T11:47:49.186Z,,,0
65,TXN1767167685502OYTIJOV,BKG-20251231-E0DY19UT,187,65,2850,INR,PENDING,DEBIT_CARD,CCAvenue,,,2026-01-05T00:09:08.798Z,2026-01-05T00:09:12.798Z,,2026-01-05T00:13:07.798Z,0
66,TXN1767167685502XR07WQ9,BKG-20251231-VYGYVUL0,237,66,744,INR,SUCCESS,WALLET,CCAvenue,,"{""status"":""success"",""txn_id"":""TXN1767167685502XR07WQ9"",""bank_ref"":""vrzyi0qizae""}",2025-12-04T01:53:55.801Z,2025-12-04T01:53:59.801Z,2025-12-04T01:54:24.801Z,,0
67,TXN17671676855027IWT4QF,BKG-20251231-N9VVQGS0,105,67,4545,INR,REFUNDED,NET_BANKING,PayU,,,2026-01-08T05:48:58.458Z,2026-01-08T05:49:02.458Z,2026-01-08T05:49:27.458Z,,0
68,TXN1767167685502JNGO401,BKG-20251231-ORLWSN9Y,780,68,588,INR,SUCCESS,UPI,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685502JNGO401"",""bank_ref"":""zyl7mzkmtpg""}",2026-01-12T11:55:55.177Z,2026-01-12T11:55:59.177Z,2026-01-12T11:56:24.177Z,,0
69,TXN1767167685502L08S2T1,BKG-20251231-WE8S62LA,385,69,4074,INR,SUCCESS,NET_BANKING,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685502L08S2T1"",""bank_ref"":""w92v1f0i02n""}",2025-12-21T16:45:47.697Z,2025-12-21T16:45:51.697Z,2025-12-21T16:46:16.697Z,,0
70,TXN1767167685502MGQNDGQ,BKG-20251231-GUR5BRMM,324,70,3380,INR,SUCCESS,WALLET,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685502MGQNDGQ"",""bank_ref"":""xovbatemxvo""}",2026-01-23T00:42:57.289Z,2026-01-23T00:43:01.289Z,2026-01-23T00:43:26.289Z,,0
71,TXN17671676855022ED1836,BKG-20251231-CUMVWNR7,288,71,4438,INR,SUCCESS,NET_BANKING,Paytm,,"{""status"":""success"",""txn_id"":""TXN17671676855022ED1836"",""bank_ref"":""0j8z2q6i4c9""}",2025-12-23T03:22:51.269Z,2025-12-23T03:22:55.269Z,2025-12-23T03:23:20.269Z,,0
72,TXN17671676855020SQ7U1N,BKG-20251231-JANVRIU9,54,72,3576,INR,SUCCESS,NET_BANKING,GooglePay,,"{""status"":""success"",""txn_id"":""TXN17671676855020SQ7U1N"",""bank_ref"":""9fshukb6z4w""}",2025-12-30T17:49:24.611Z,2025-12-30T17:49:28.611Z,2025-12-30T17:49:53.611Z,,0
73,TXN176716768550257SNUC2,BKG-20251231-BNTBGUS9,563,73,3238,INR,SUCCESS,DEBIT_CARD,Razorpay,,"{""status"":""success"",""txn_id"":""TXN176716768550257SNUC2"",""bank_ref"":""2zon7awvy6f""}",2026-01-25T19:17:32.210Z,2026-01-25T19:17:36.210Z,2026-01-25T19:18:01.210Z,,0
74,TXN1767167685502GLJ0ZHG,BKG-20251231-EVPPAB42,941,74,896,INR,PENDING,UPI,CCAvenue,,,2025-12-16T19:07:13.706Z,2025-12-16T19:07:17.706Z,,2025-12-16T19:11:12.706Z,0
75,TXN17671676855029EPKXAB,BKG-20251231-7UO9382G,145,75,4934,INR,SUCCESS,NET_BANKING,GooglePay,,"{""status"":""success"",""txn_id"":""TXN17671676855029EPKXAB"",""bank_ref"":""oj3o2wv7daa""}",2025-12-31T07:13:26.093Z,2025-12-31T07:13:30.093Z,2025-12-31T07:13:55.093Z,,0
76,TXN17671676855025PQ8G87,BKG-20251231-W9HSJJF3,678,76,3380,INR,SUCCESS,WALLET,Paytm,,"{""status"":""success"",""txn_id"":""TXN17671676855025PQ8G87"",""bank_ref"":""zgagajdymy""}",2025-12-09T19:32:39.430Z,2025-12-09T19:32:43.430Z,2025-12-09T19:33:08.430Z,,0
77,TXN17671676855024M4G58F,BKG-20251231-EZJZF90N,56,77,1756,INR,REFUNDED,UPI,Paytm,,,2025-12-11T18:27:23.905Z,2025-12-11T18:27:27.905Z,2025-12-11T18:27:52.905Z,,0
78,TXN1767167685502XR4GS5S,BKG-20251231-5GSL0991,91,78,593,INR,SUCCESS,UPI,Razorpay,,"{""status"":""success"",""txn_id"":""TXN1767167685502XR4GS5S"",""bank_ref"":""j74qicu8ddj""}",2026-01-27T05:30:02.872Z,2026-01-27T05:30:06.872Z,2026-01-27T05:30:31.872Z,,0
79,TXN17671676855026LFQU6I,BKG-20251231-KK2AB83E,787,79,1576,INR,REFUNDED,CREDIT_CARD,GooglePay,,,2025-12-06T03:58:53.210Z,2025-12-06T03:58:57.210Z,2025-12-06T03:59:22.210Z,,0
80,TXN1767167685502WB5VP38,BKG-20251231-2ZAMNSK0,316,80,1504,INR,INITIATED,CREDIT_CARD,Razorpay,,,2025-12-23T06:21:36.984Z,2025-12-23T06:21:40.984Z,,2025-12-23T06:25:35.984Z,0
81,TXN17671676855027DMV1VF,BKG-20251231-Y2F5XYDG,370,81,2590,INR,REFUNDED,UPI,PayU,,,2025-12-09T13:12:28.023Z,2025-12-09T13:12:32.023Z,2025-12-09T13:12:57.023Z,,0
82,TXN17671676855023NC20MK,BKG-20251231-D2N2R6QN,588,82,1214,INR,REFUNDED,NET_BANKING,Paytm,,,2025-12-17T11:04:12.908Z,2025-12-17T11:04:16.908Z,2025-12-17T11:04:41.908Z,,0
83,TXN176716768550261VXCU0,BKG-20251231-KE8FW9F5,389,83,2020,INR,SUCCESS,WALLET,Razorpay,,"{""status"":""success"",""txn_id"":""TXN176716768550261VXCU0"",""bank_ref"":""905fuz164d""}",2025-11-17T19:26:27.512Z,2025-11-17T19:26:31.512Z,2025-11-17T19:26:56.512Z,,0
84,TXN1767167685502QJ5TYP7,BKG-20251231-SC8MSI4R,762,84,1168,INR,INITIATED,NET_BANKING,CCAvenue,,,2026-01-12T07:31:19.911Z,2026-01-12T07:31:23.911Z,,2026-01-12T07:35:18.911Z,0
85,TXN17671676855026KUO0SF,BKG-20251231-MKVG61K7,675,85,3420,INR,REFUNDED,DEBIT_CARD,GooglePay,,,2026-01-07T15:09:42.399Z,2026-01-07T15:09:46.399Z,2026-01-07T15:10:11.399Z,,0
86,TXN1767167685502MLV6DCG,BKG-20251231-4A6KSX5B,374,86,4912,INR,SUCCESS,WALLET,GooglePay,,"{""status"":""success"",""txn_id"":""TXN1767167685502MLV6DCG"",""bank_ref"":""juu99cvtqwi""}",2025-12-06T17:31:07.823Z,2025-12-06T17:31:11.823Z,2025-12-06T17:31:36.823Z,,0
87,TXN1767167685502EI2N1IC,BKG-20251231-A46BD4GC,916,87,772,INR,SUCCESS,UPI,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685502EI2N1IC"",""bank_ref"":""wwksg0qls3""}",2025-12-24T11:35:39.009Z,2025-12-24T11:35:43.009Z,2025-12-24T11:36:08.009Z,,0
88,TXN1767167685502S5A98OE,BKG-20251231-MRJOF5OL,217,88,3795,INR,SUCCESS,WALLET,GooglePay,,"{""status"":""success"",""txn_id"":""TXN1767167685502S5A98OE"",""bank_ref"":""a1s07d0jmbc""}",2025-12-27T16:33:11.820Z,2025-12-27T16:33:15.820Z,2025-12-27T16:33:40.820Z,,0
89,TXN1767167685502LEC8IVW,BKG-20251231-4JSRJMJC,895,89,2021,INR,SUCCESS,UPI,Razorpay,,"{""status"":""success"",""txn_id"":""TXN1767167685502LEC8IVW"",""bank_ref"":""slgl9oqs85o""}",2025-11-24T14:16:32.173Z,2025-11-24T14:16:36.173Z,2025-11-24T14:17:01.173Z,,0
90,TXN1767167685502D2JSC3G,BKG-20251231-NL80QAEE,674,90,4904,INR,PENDING,UPI,Razorpay,,,2025-12-21T04:08:49.439Z,2025-12-21T04:08:53.439Z,,2025-12-21T04:12:48.439Z,0
