id,booking_id,user_id,source_station,destination_station,journey_date,status,journey_type,total_fare,total_travel_time_minutes,total_layover_minutes,created_at,confirmed_at,cancelled_at,version
109,BKG-20251231-HBZ5PUGR,733,Hyderabad Deccan,Jodhpur,2026-01-01,CONFIRMED,SINGLE_TRAIN,649,1361,0,2025-12-29T01:29:21.125Z,2025-12-29T01:31:13.026Z,,0
110,BKG-20251231-Q0NDR2ZR,233,Hyderabad Deccan,Shri Mata Vaishno Devi,2026-01-09,CONFIRMED,SINGLE_TRAIN,2828,701,0,2025-12-23T00:28:41.264Z,2025-12-23T00:35:35.806Z,,0
111,BKG-20251231-D4K89283,686,Hyderabad Deccan,Bhopal Junction,2025-12-20,CONFIRMED,MULTI_TRAIN,1274,644,126,2025-12-17T04:46:21.318Z,2025-12-17T04:49:35.038Z,,0
112,BKG-20251231-0G2KGBNS,668,Patna Junction,Jodhpur,2026-01-18,CONFIRMED,SINGLE_TRAIN,3207,1321,0,2026-01-09T22:12:23.276Z,2026-01-09T22:13:39.257Z,,0
113,BKG-20251231-Z85EM5MJ,41,Jodhpur,Pune Junction,2026-01-13,CANCELLED,SINGLE_TRAIN,2386,1138,0,2026-01-11T07:16:07.698Z,,2026-01-11T14:57:19.999Z,0
114,BKG-20251231-8ZUCY93M,166,Indore,Trivandrum Central,2026-01-07,CONFIRMED,SINGLE_TRAIN,2086,343,0,2025-12-09T11:08:31.822Z,2025-12-09T11:17:14.190Z,,0
115,BKG-20251231-TGJLRX8S,507,Hyderabad Deccan,Bhopal Junction,2026-01-28,CONFIRMED,SINGLE_TRAIN,3664,385,0,2026-01-07T08:53:04.601Z,2026-01-07T08:59:52.041Z,,0
116,BKG-20251231-1LZC6PEP,883,Trivandrum Central,Jaipur,2026-01-08,PAYMENT_PENDING,SINGLE_TRAIN,2878,741,0,2025-12-15T23:24:38.421Z,,,0
117,BKG-20251231-LGNCLOMM,204,Udaipur City,Ahmedabad,2026-01-21,CONFIRMED,SINGLE_TRAIN,3576,1067,0,2026-01-08T00:26:05.532Z,2026-01-08T00:35:38.849Z,,0
118,BKG-20251231-6KJN7X33,532,Chennai Central,Vadodara,2026-01-04,CONFIRMED,SINGLE_TRAIN,3653,1262,0,2025-12-15T01:32:42.347Z,2025-12-15T01:33:24.459Z,,0
119,BKG-20251231-CM35U85T,865,Amritsar,Shri Mata Vaishno Devi,2025-12-19,CONFIRMED,SINGLE_TRAIN,1524,1178,0,2025-11-20T13:31:28.755Z,2025-11-20T13:37:24.288Z,,0
120,BKG-20251231-TMMD9APY,895,Ernakulam,Amritsar,2026-01-17,PAYMENT_PENDING,SINGLE_TRAIN,2182,1204,0,2025-12-25T19:49:28.337Z,,,0
121,BKG-20251231-YRQFDZ79,857,Jaipur,Indore,2025-12-24,CONFIRMED,SINGLE_TRAIN,3625,1409,0,2025-11-27T01:05:24.269Z,2025-11-27T01:07:44.101Z,,0
122,BKG-20251231-0ZYH9XN4,447,Ahmedabad,Udaipur City,2026-01-09,CONFIRMED,SINGLE_TRAIN,4333,1330,0,2026-01-06T16:47:35.534Z,2026-01-06T16:49:15.599Z,,0
123,BKG-20251231-UI50HG3C,257,Ernakulam,Udaipur City,2026-01-11,CONFIRMED,SINGLE_TRAIN,1597,430,0,2026-01-06T14:43:31.818Z,2026-01-06T14:53:19.166Z,,0
124,BKG-20251231-G0S5LAV0,595,Gwalior,Pune Junction,2026-01-16,PAYMENT_PENDING,SINGLE_TRAIN,1454,1369,0,2025-12-28T11:29:59.316Z,,,0
125,BKG-20251231-PAIXK5TN,72,Trivandrum Central,Agra Cantt,2025-12-20,CONFIRMED,SINGLE_TRAIN,3441,339,0,2025-11-25T11:53:59.567Z,2025-11-25T11:54:05.622Z,,0
126,BKG-20251231-7SBBGH0Q,546,Hyderabad Deccan,Jodhpur,2025-12-18,SEATS_BLOCKED,SINGLE_TRAIN,552,1417,0,2025-12-14T04:09:20.216Z,,,0
127,BKG-20251231-3H6GAWQC,413,Indore,Patna Junction,2025-12-19,CONFIRMED,SINGLE_TRAIN,4487,374,0,2025-12-12T00:32:43.285Z,2025-12-12T00:39:52.138Z,,0
128,BKG-20251231-GR1IOS4B,162,Patna Junction,Shri Mata Vaishno Devi,2026-01-22,CONFIRMED,SINGLE_TRAIN,4326,762,0,2026-01-09T12:31:54.317Z,2026-01-09T12:39:21.684Z,,0
129,BKG-20251231-4TSOUZO2,976,Shri Mata Vaishno Devi,Jodhpur,2026-01-17,CONFIRMED,MULTI_TRAIN,937,734,126,2026-01-16T04:48:03.022Z,2026-01-16T04:52:54.649Z,,0
130,BKG-20251231-V3X5VT9M,164,Agra Cantt,Ahmedabad,2025-12-25,PAYMENT_FAILED,SINGLE_TRAIN,2161,1016,0,2025-12-14T13:35:07.064Z,,,0
131,BKG-20251231-VDQG2T6O,914,Vadodara,Trivandrum Central,2026-01-08,PAYMENT_PENDING,SINGLE_TRAIN,4187,1326,0,2025-12-16T05:19:15.052Z,,,0
132,BKG-20251231-0244663F,741,Bangalore City,Agra Cantt,2025-12-19,CONFIRMED,SINGLE_TRAIN,2328,1126,0,2025-12-16T03:05:45.925Z,2025-12-16T03:12:27.075Z,,0
133,BKG-20251231-LZLMZ14G,419,Howrah,Ernakulam,2026-01-09,CONFIRMED,SINGLE_TRAIN,3032,616,0,2025-12-11T20:50:07.963Z,2025-12-11T20:57:24.852Z,,0
