id,idempotency_key,request_hash,response_body,status,operation_type,entity_id,error_message,created_at,expires_at,version
19,BKG-20251231-51XYGGA6-75e01cc3-f305-4a97-8d5e-c79526489a43,uhxgqpd5198j5b9301yl8,"{""success"":true,""booking_id"":""BKG-20251231-51XYGGA6""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-51XYGGA6,,2025-12-14T16:30:18.079Z,2025-12-15T16:30:18.079Z,0
20,BKG-20251231-PRCKX8NK-2eba73c9-2597-45eb-9218-a65be7c310c5,1wa6g3daj7tnu48l1jlwto,"{""success"":true,""booking_id"":""BKG-20251231-PRCKX8NK""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-PRCKX8NK,,2025-12-09T01:08:16.038Z,2025-12-10T01:08:16.038Z,0
21,BKG-20251231-NHIJIM9Z-ab508c14-ce3b-4658-b69f-a440ba8c4f03,o1dffqzttskxlp9j1x90ol,"{""success"":true,""booking_id"":""BKG-20251231-NHIJIM9Z""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-NHIJIM9Z,,2025-12-12T23:48:53.697Z,2025-12-13T23:48:53.697Z,0
22,BKG-20251231-AHTSPITX-723627b5-d38f-40e2-9faf-5c8ac8bb07aa,lm2sixvt48jvgw7zh189,"{""success"":true,""booking_id"":""BKG-20251231-AHTSPITX""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-AHTSPITX,,2026-01-03T16:52:15.950Z,2026-01-04T16:52:15.950Z,0
23,BKG-20251231-EK75IKCU-05a74cf2-e05b-4581-93a2-14900d31cf80,jykbueg15mavkjuyuvvhxd,"{""success"":true,""booking_id"":""BKG-20251231-EK75IKCU""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-EK75IKCU,,2025-12-17T02:03:47.894Z,2025-12-18T02:03:47.894Z,0
24,BKG-20251231-77ESJJ4R-5934d192-5a82-4b2c-8523-3a667f64fba7,q41yc8dozomtz88jyt57wn,"{""success"":true,""booking_id"":""BKG-20251231-77ESJJ4R""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-77ESJJ4R,,2025-12-16T12:13:32.182Z,2025-12-17T12:13:32.182Z,0
25,BKG-20251231-6LC0GDGP-df46f5cf-a2bd-49cc-8b0d-110c5eb39588,enkkh8o45g5x7hzh756r6m,,PROCESSING,CANCEL_BOOKING,BKG-20251231-6LC0GDGP,,2026-01-04T00:00:27.897Z,2026-01-05T00:00:27.897Z,0
26,BKG-20251231-ZSPU3CCA-442edc1c-5863-469f-9b13-27aa835fb089,gwd94zz02hd7n6jc54xk4u,"{""success"":true,""booking_id"":""BKG-20251231-ZSPU3CCA""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-ZSPU3CCA,,2025-12-09T14:08:58.420Z,2025-12-10T14:08:58.420Z,0
27,BKG-20251231-B87YP70R-53540db3-fc22-41d8-860d-0c246b2f8024,q6q73hyhydz2or2is72jd,"{""success"":true,""booking_id"":""BKG-20251231-B87YP70R""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-B87YP70R,,2026-01-15T18:11:56.804Z,2026-01-16T18:11:56.804Z,0
28,BKG-20251231-7RWHYHUZ-0281b029-009a-409c-a582-6479f72e5dae,9qptmkrvqxu2oxhe9rjz1u,"{""success"":true,""booking_id"":""BKG-20251231-7RWHYHUZ""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-7RWHYHUZ,,2026-01-03T21:23:58.261Z,2026-01-04T21:23:58.261Z,0
29,BKG-20251231-TYSK0LKY-f9bd7be6-f507-4b3f-a9af-1ec7fe99e0e3,e5c7jn10uxs49zpmip1he7,"{""success"":true,""booking_id"":""BKG-20251231-TYSK0LKY""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-TYSK0LKY,,2025-12-11T11:14:11.178Z,2025-12-12T11:14:11.178Z,0
30,BKG-20251231-D9QL4DOZ-8d127c70-36fc-430c-bb40-10a04d339bb9,yzy48ddnydkukwbldn35,"{""success"":true,""booking_id"":""BKG-20251231-D9QL4DOZ""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-D9QL4DOZ,,2025-12-29T15:46:31.765Z,2025-12-30T15:46:31.765Z,0
31,BKG-20251231-4A2NONDN-891053ca-a66e-4740-901a-8b6d24df3bdc,n556a2ofn2sboeaxnra4,"{""success"":true,""booking_id"":""BKG-20251231-4A2NONDN""}",COMPLETED,CREATE_BOOKING,BKG-20251231-4A2NONDN,,2025-12-16T15:54:02.580Z,2025-12-17T15:54:02.580Z,0
32,BKG-20251231-QIVOBP9V-2574bcdd-4b8b-4cce-a8cf-9a91aa1f3535,zerlco63ev0rk5t0fxikyd,"{""success"":true,""booking_id"":""BKG-20251231-QIVOBP9V""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-QIVOBP9V,,2025-12-14T22:28:05.025Z,2025-12-15T22:28:05.025Z,0
33,BKG-20251231-A1LJTGYQ-3a5d6ed7-417d-4741-b6c4-a1451bb8436e,t5e53kzxu3io9h9dob2g8g,"{""success"":true,""booking_id"":""BKG-20251231-A1LJTGYQ""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-A1LJTGYQ,,2025-12-09T05:45:15.191Z,2025-12-10T05:45:15.191Z,0
34,BKG-20251231-O1EY5F9P-588becb2-a723-4665-ae23-fb03dd69d946,e4cdb3zr12yrhm82yjet,"{""success"":true,""booking_id"":""BKG-20251231-O1EY5F9P""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-O1EY5F9P,,2025-12-17T05:54:05.016Z,2025-12-18T05:54:05.016Z,0
35,BKG-20251231-T6BRI2V9-35919746-c37b-41b1-b40d-f0e5994d93f1,rmpj304732dkhas6quyt7m,"{""success"":true,""booking_id"":""BKG-20251231-T6BRI2V9""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-T6BRI2V9,,2025-12-21T01:04:26.539Z,2025-12-22T01:04:26.539Z,0
36,BKG-20251231-F7RQTQCC-30d2d70d-d1b0-40e0-87ee-e05b9cc5e1d4,fyghfgo5k5ugi9n1bgr54,"{""success"":true,""booking_id"":""BKG-20251231-F7RQTQCC""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-F7RQTQCC,,2025-12-29T09:32:43.997Z,2025-12-30T09:32:43.997Z,0
37,BKG-20251231-WPN2AHMB-8b8bd0ac-c72b-4d79-b303-e2ce25b0e577,bydcr8lmojqglkypnzqphv,"{""success"":true,""booking_id"":""BKG-20251231-WPN2AHMB""}",COMPLETED,CREATE_BOOKING,BKG-20251231-WPN2AHMB,,2025-12-23T22:31:44.855Z,2025-12-24T22:31:44.855Z,0
38,BKG-20251231-IX1Q0QC5-2b0156d2-66ee-42fd-b1f5-351a5753430d,pffs6t21c8gpcw4qyad8p,"{""success"":true,""booking_id"":""BKG-20251231-IX1Q0QC5""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-IX1Q0QC5,,2026-01-04T23:59:07.586Z,2026-01-05T23:59:07.586Z,0
39,BKG-20251231-L0HDJLMK-b952a954-2e0f-4531-bd6e-69ab28f67622,d5azhozwf2z7mt32ph9f,"{""success"":true,""booking_id"":""BKG-20251231-L0HDJLMK""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-L0HDJLMK,,2025-12-22T23:53:55.445Z,2025-12-23T23:53:55.445Z,0
40,BKG-20251231-2T5MNZ5H-cd7fc4a7-b8c1-40ab-a9b9-8d82d351baf3,ybg9wxtlc8txu0bmj5u7,"{""success"":true,""booking_id"":""BKG-20251231-2T5MNZ5H""}",COMPLETED,CREATE_BOOKING,BKG-20251231-2T5MNZ5H,,2025-12-21T13:24:49.669Z,2025-12-22T13:24:49.669Z,0
41,BKG-20251231-BE1V1AJL-28b63a42-515e-4da8-b698-d3922f15e0c0,orclb8lhpcql36vj22a3w,"{""success"":true,""booking_id"":""BKG-20251231-BE1V1AJL""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-BE1V1AJL,,2026-01-11T13:33:25.882Z,2026-01-12T13:33:25.882Z,0
42,BKG-20251231-Y14T28J7-829c2f98-1b25-4f2e-892f-c627be88f060,6es2d6azsq8wf0p80m9k78,"{""success"":true,""booking_id"":""BKG-20251231-Y14T28J7""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-Y14T28J7,,2025-12-12T11:54:40.456Z,2025-12-13T11:54:40.456Z,0
43,BKG-20251231-SU8DU46Y-839427c2-cc20-455f-9bc9-3e22fd84e36d,dgbi4le8gsncbevogpas8j,"{""success"":true,""booking_id"":""BKG-20251231-SU8DU46Y""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-SU8DU46Y,,2025-12-14T20:31:46.327Z,2025-12-15T20:31:46.327Z,0
44,BKG-20251231-4SH80S6V-0d298150-5d42-4446-b52e-c6c57036e615,enkn085tx262eqqxdr7b4f,"{""success"":true,""booking_id"":""BKG-20251231-4SH80S6V""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-4SH80S6V,,2025-12-26T05:01:40.122Z,2025-12-27T05:01:40.122Z,0
45,BKG-20251231-ZMOOVQV7-c1d665bf-41dc-44c5-8113-249e3b9dc80b,1pfoa5c4jocnnvihp4fyo,"{""success"":true,""booking_id"":""BKG-20251231-ZMOOVQV7""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-ZMOOVQV7,,2025-12-17T23:12:37.813Z,2025-12-18T23:12:37.813Z,0
46,BKG-20251231-CE6SBIA0-baf330b4-edf5-4d2b-9ad3-a9e144d5daba,miqnm6aha173fp01gk7q2l,"{""success"":true,""booking_id"":""BKG-20251231-CE6SBIA0""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-CE6SBIA0,,2026-01-15T03:48:04.856Z,2026-01-16T03:48:04.856Z,0
47,BKG-20251231-OOJS90VB-451616b4-f62b-43bb-beab-d99a5ae4b4a8,jsd601sjstnbiifu2kqkem,"{""success"":true,""booking_id"":""BKG-20251231-OOJS90VB""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-OOJS90VB,,2025-12-29T11:00:55.247Z,2025-12-30T11:00:55.247Z,0
48,BKG-20251231-898WBRWY-62456303-8875-4000-99dc-c3c1d986b967,leagrn5tk7ktvyl6rzgqp,"{""success"":true,""booking_id"":""BKG-20251231-898WBRWY""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-898WBRWY,,2026-01-04T14:09:27.879Z,2026-01-05T14:09:27.879Z,0
49,BKG-20251231-1HDRMZSN-43c3ab60-b9d0-408c-956e-06da6e87751c,oqb49uetbsasi1dabmaob,,PROCESSING,CREATE_BOOKING,BKG-20251231-1HDRMZSN,,2026-01-16T08:15:31.519Z,2026-01-17T08:15:31.519Z,0
50,BKG-20251231-EZR671GG-bae2bf89-e90d-4281-b933-906cdbbedbbd,keztz85tqbo1c9eco0boir,"{""success"":true,""booking_id"":""BKG-20251231-EZR671GG""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-EZR671GG,,2026-01-16T14:04:41.864Z,2026-01-17T14:04:41.864Z,0
51,BKG-20251231-FYFF0GE6-699e2cd2-0b54-46d9-9fb1-e8c215fc39a2,ymzqefyw6z6hivrr689cy,"{""success"":true,""booking_id"":""BKG-20251231-FYFF0GE6""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-FYFF0GE6,,2025-12-18T10:10:19.085Z,2025-12-19T10:10:19.085Z,0
52,BKG-20251231-XDF1GYLT-e0dd41ee-62f3-43c0-8ae3-9d0b4e26c25b,kh7m2s6l3in5923jw7ggr,"{""success"":true,""booking_id"":""BKG-20251231-XDF1GYLT""}",COMPLETED,CREATE_BOOKING,BKG-20251231-XDF1GYLT,,2025-12-09T21:01:14.214Z,2025-12-10T21:01:14.214Z,0
53,BKG-20251231-0W4T3NOR-239af86c-4d88-4f27-ad5f-d7bb00f2ea3c,tz7x8li6xjoiv9sy44l5po,"{""success"":true,""booking_id"":""BKG-20251231-0W4T3NOR""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-0W4T3NOR,,2025-12-03T17:07:38.602Z,2025-12-04T17:07:38.602Z,0
54,BKG-20251231-NA33V45C-00589d2b-6096-48dc-b957-128ddd0bb83d,6zulvrhlpp9c43l4z4eis8,,PROCESSING,CANCEL_BOOKING,BKG-20251231-NA33V45C,,2025-12-30T15:52:44.800Z,2025-12-31T15:52:44.800Z,0
55,BKG-20251231-7KHY97LO-1c216e77-4a0c-4f0f-8c51-6bcf63dc242e,89thln14col8tznuwn3ud,,PROCESSING,CREATE_BOOKING,BKG-20251231-7KHY97LO,,2025-11-22T14:37:25.901Z,2025-11-23T14:37:25.901Z,0
56,BKG-20251231-L43J1Y97-920945f7-13d9-4135-8937-69d30c714d3d,lf0yi8epb6gyjyet8s57u,"{""success"":true,""booking_id"":""BKG-20251231-L43J1Y97""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-L43J1Y97,,2025-12-14T16:51:47.220Z,2025-12-15T16:51:47.220Z,0
57,BKG-20251231-DQAT1BOS-7999b8bd-2852-4e2c-be83-87959630b353,gio3uarg0zwje03v6uiba,"{""success"":true,""booking_id"":""BKG-20251231-DQAT1BOS""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-DQAT1BOS,,2026-01-04T23:41:55.744Z,2026-01-05T23:41:55.744Z,0
58,BKG-20251231-XKP560CA-cffb06bc-f314-4955-91b0-78946d36c3f5,mfli6ew5ryongle7qbrnj,"{""success"":true,""booking_id"":""BKG-20251231-XKP560CA""}",COMPLETED,CREATE_BOOKING,BKG-20251231-XKP560CA,,2026-01-12T22:09:02.853Z,2026-01-13T22:09:02.853Z,0
59,BKG-20251231-N5G45SPT-bf80fd10-410c-4b21-8117-03c0b3fb703b,ew7mpvhdyd4v9ju5f6i9bo,"{""success"":true,""booking_id"":""BKG-20251231-N5G45SPT""}",COMPLETED,CREATE_BOOKING,BKG-20251231-N5G45SPT,,2025-12-17T00:27:57.576Z,2025-12-18T00:27:57.576Z,0
60,BKG-20251231-F701EZ66-e1fd03b5-9f47-4066-bf97-b399e1e5ab04,66kcsdm95h4e8rre7g85l,"{""success"":true,""booking_id"":""BKG-20251231-F701EZ66""}",COMPLETED,CREATE_BOOKING,BKG-20251231-F701EZ66,,2025-12-16T03:23:07.592Z,2025-12-17T03:23:07.592Z,0
61,BKG-20251231-T44QPVFV-cc618a22-0233-47ea-b6ec-fe2717dc2864,1yknlmyvbsksl3cofmh0kb,"{""success"":true,""booking_id"":""BKG-20251231-T44QPVFV""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-T44QPVFV,,2026-01-11T10:19:57.198Z,2026-01-12T10:19:57.198Z,0
62,BKG-20251231-S4B3P1W3-f50c8322-eb29-43dc-ab13-80bc21a12fda,jhzd7gcuoyndmsk2ot7vd,"{""success"":true,""booking_id"":""BKG-20251231-S4B3P1W3""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-S4B3P1W3,,2025-12-07T20:00:32.989Z,2025-12-08T20:00:32.989Z,0
63,BKG-20251231-UUPNH0TT-9688121e-bd03-46ae-8292-c5d3cd155f0a,j83jtzmwpgbplxe2f3dw,"{""success"":true,""booking_id"":""BKG-20251231-UUPNH0TT""}",COMPLETED,CREATE_BOOKING,BKG-20251231-UUPNH0TT,,2025-12-29T09:37:42.461Z,2025-12-30T09:37:42.461Z,0
64,BKG-20251231-A97DY430-99e4ce38-d532-481c-9747-8a74e3cb03d3,7kl5yuigsbwiq4fb3kr5ld,,PROCESSING,CONFIRM_BOOKING,BKG-20251231-A97DY430,,2025-12-11T11:47:44.186Z,2025-12-12T11:47:44.186Z,0
65,BKG-20251231-E0DY19UT-ddf64ce8-2bbd-44b9-b990-0f9f283661de,paoenpx9z7i59hcpg6scop,"{""success"":true,""booking_id"":""BKG-20251231-E0DY19UT""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-E0DY19UT,,2026-01-05T00:09:07.798Z,2026-01-06T00:09:07.798Z,0
66,BKG-20251231-VYGYVUL0-db09d318-57e3-4b70-9b09-a2a75aaaf489,pbe0ckbb3uipaa9yk118iq,,FAILED,CONFIRM_BOOKING,BKG-20251231-VYGYVUL0,Internal server error,2025-12-04T01:53:54.801Z,2025-12-05T01:53:54.801Z,0
67,BKG-20251231-N9VVQGS0-191b5d9f-f309-48cb-b346-2ffafa2409c6,drrcampszhkv1lrbyzyi,"{""success"":true,""booking_id"":""BKG-20251231-N9VVQGS0""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-N9VVQGS0,,2026-01-08T05:48:57.458Z,2026-01-09T05:48:57.458Z,0
68,BKG-20251231-ORLWSN9Y-474dc652-6a78-4f1e-9dd3-58fbea7fcffe,jg0hkpp2hsgsu3tl25thzl,"{""success"":true,""booking_id"":""BKG-20251231-ORLWSN9Y""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-ORLWSN9Y,,2026-01-12T11:55:54.177Z,2026-01-13T11:55:54.177Z,0
69,BKG-20251231-WE8S62LA-e69add32-c497-48df-aefc-890cd0fe6449,6vuurcsin2yt75b3z0laol,"{""success"":true,""booking_id"":""BKG-20251231-WE8S62LA""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-WE8S62LA,,2025-12-21T16:45:46.697Z,2025-12-22T16:45:46.697Z,0
70,BKG-20251231-GUR5BRMM-b694117c-d2fa-4dfa-a3f4-ccd0f7ea486d,3t3b2zf7evcj51dte441ws,"{""success"":true,""booking_id"":""BKG-20251231-GUR5BRMM""}",COMPLETED,CREATE_BOOKING,BKG-20251231-GUR5BRMM,,2026-01-23T00:42:56.289Z,2026-01-24T00:42:56.289Z,0
71,BKG-20251231-CUMVWNR7-e8d8a1ed-b453-43ba-9a54-a062386c0993,g340nv515fpcwfs4p719z,"{""success"":true,""booking_id"":""BKG-20251231-CUMVWNR7""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-CUMVWNR7,,2025-12-23T03:22:50.269Z,2025-12-24T03:22:50.269Z,0
72,BKG-20251231-JANVRIU9-005c007c-8313-4aaa-b761-ba3cba21ae87,gkjltpuowmsw6dchqoyiy,"{""success"":true,""booking_id"":""BKG-20251231-JANVRIU9""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-JANVRIU9,,2025-12-30T17:49:23.611Z,2025-12-31T17:49:23.611Z,0
73,BKG-20251231-BNTBGUS9-7c56ad88-e457-4cf0-91f5-86df4ed95a95,ccxcql8gu2d6lx198mttj6,"{""success"":true,""booking_id"":""BKG-20251231-BNTBGUS9""}",COMPLETED,CREATE_BOOKING,BKG-20251231-BNTBGUS9,,2026-01-25T19:17:31.210Z,2026-01-26T19:17:31.210Z,0
74,BKG-20251231-EVPPAB42-892f52bf-3adb-4579-b1d7-485a752a6e0b,yxvrummq92ergnul77re,,FAILED,CONFIRM_BOOKING,BKG-20251231-EVPPAB42,Internal server error,2025-12-16T19:07:12.706Z,2025-12-17T19:07:12.706Z,0
75,BKG-20251231-7UO9382G-0e246d2a-8b50-4b47-bc74-4dbfa7c54663,7dto92p2ecky2w7d5e4h8t,"{""success"":true,""booking_id"":""BKG-20251231-7UO9382G""}",COMPLETED,CREATE_BOOKING,BKG-20251231-7UO9382G,,2025-12-31T07:13:25.093Z,2026-01-01T07:13:25.093Z,0
76,BKG-20251231-W9HSJJF3-029ee6dd-fd70-4c04-baa2-b4657917e492,etxiij959odympzbxhl8,"{""success"":true,""booking_id"":""BKG-20251231-W9HSJJF3""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-W9HSJJF3,,2025-12-09T19:32:38.430Z,2025-12-10T19:32:38.430Z,0
77,BKG-20251231-EZJZF90N-b581dd04-4bb4-453a-bdfa-7a9609d18258,r6z0sgm59o3s781zyctw6,,PROCESSING,CONFIRM_BOOKING,BKG-20251231-EZJZF90N,,2025-12-11T18:27:22.905Z,2025-12-12T18:27:22.905Z,0
78,BKG-20251231-5GSL0991-6953108d-8331-4db4-bdc1-978307bf2fae,qgb75fhvarkdnsb83xn73q,"{""success"":true,""booking_id"":""BKG-20251231-5GSL0991""}",COMPLETED,CREATE_BOOKING,BKG-20251231-5GSL0991,,2026-01-27T05:30:01.872Z,2026-01-28T05:30:01.872Z,0
79,BKG-20251231-KK2AB83E-49f4f53b-5517-443e-923a-111a1747a4c2,28c74ymzqso2zyf3znnjf,"{""success"":true,""booking_id"":""BKG-20251231-KK2AB83E""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-KK2AB83E,,2025-12-06T03:58:52.210Z,2025-12-07T03:58:52.210Z,0
80,BKG-20251231-2ZAMNSK0-2eafa647-9c30-446c-a515-191a19d59740,n2090bj63wj8wup9iqqkn,"{""success"":true,""booking_id"":""BKG-20251231-2ZAMNSK0""}",COMPLETED,CREATE_BOOKING,BKG-20251231-2ZAMNSK0,,2025-12-23T06:21:35.984Z,2025-12-24T06:21:35.984Z,0
81,BKG-20251231-Y2F5XYDG-182715d0-3fd1-4340-be54-ee2185f87419,ssjrh2l2jms50g052tsjqw,,FAILED,CREATE_BOOKING,BKG-20251231-Y2F5XYDG,Internal server error,2025-12-09T13:12:27.023Z,2025-12-10T13:12:27.023Z,0
82,BKG-20251231-D2N2R6QN-e4c41df9-5576-400b-bc1a-20e3c12c137a,qhgxiz2x30drk5brt7j8ae,"{""success"":true,""booking_id"":""BKG-20251231-D2N2R6QN""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-D2N2R6QN,,2025-12-17T11:04:11.908Z,2025-12-18T11:04:11.908Z,0
83,BKG-20251231-KE8FW9F5-66827dca-de79-437f-b1ec-31a3bc5ef2a1,90e5qx6gu48vrkx5qxgwam,"{""success"":true,""booking_id"":""BKG-20251231-KE8FW9F5""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-KE8FW9F5,,2025-11-17T19:26:26.512Z,2025-11-18T19:26:26.512Z,0
